Cod_INEtxt;Cod_iNEok;Mun;F2018Total;SuperfKm2;NOMBRE_ACT;Mun_NomCod;F2018Dens;Var91_18aa;Var91_18;Envejecimi;Bebes;Altitud;Pob18;Evo18;Envj18;Bebes18;M174_18;Pendiente;Alt3;Pend;M174_2018;Alt_0;Pend_0;M174_18_4;Cod_Prov;Envej18_2;Env2;Dif_env;M174_3;Dif_M174;M174_3_4;Dif_4;SSPA
16004;16004;16004-Albaladejo del Cuende;252,00000000000;55,19137100000;Albaladejo del Cuende;16004;4,56593114891;-2,24337328756;-45,80645161290;1236,36363636000;0,79365079365;915,00000000000;3;3;3;3;14;9,19000000000;2;1;15;2;1;4;16;3;1236,36363636000;0;15;0;4;0;1
42217;42217;42217-Vozmediano;36,00000000000;16,61221900000;Vozmediano;42217;2,16707954548;-2,10843339798;-43,75000000000;500,00000000000;0,00000000000;919,00000000000;3;3;2;3;13;17,82000000000;2;2;15;2;2;4;42;2;500,00000000000;0;15;0;4;0;1
42024;42024;42024-Aranc├│n;85,00000000000;77,75848700000;Aranc├│n;42024;1,09312826521;-1,38889537457;-31,45161290320;1800,00000000000;0,00000000000;1064,00000000000;3;3;2;3;14;8,24000000000;3;1;15;3;1;4;42;3;1800,00000000000;-1;16;1;4;0;1
42025;42025;42025-Arcos de Jal├│n;1489,00000000000;441,54059900000;Arcos de Jal├│n;42025;3,37228332654;-1,43534960749;-32,31818181820;306,62251655600;2,82068502351;828,00000000000;3;3;3;2;13;11,21000000000;2;1;14;2;1;3;42;2;306,62251655600;0;13;-1;3;0;1
42218;42218;42218-Yanguas;92,00000000000;54,28850700000;Yanguas;42218;1,69464966130;0,61327938732;17,94871794870;200,00000000000;2,17391304348;991,00000000000;3;1;3;2;11;29,50000000000;2;3;14;2;3;3;42;2;200,00000000000;0;13;-1;3;0;1
42219;42219;42219-Yelo;38,00000000000;24,95036000000;Yelo;42219;1,52302411669;-3,37421159607;-60,41666666670;0,00000000000;0,00000000000;1124,00000000000;3;3;3;3;15;6,79000000000;3;1;16;3;1;4;42;3;2000,00000000000;0;16;0;4;0;1
16140;16140;16140-Olmeda de la Cuesta;21,00000000000;23,22720400000;Olmeda de la Cuesta;16140;0,90411226422;-3,43753289794;-61,11111111110;800,00000000000;0,00000000000;898,00000000000;3;3;2;3;13;10,32000000000;2;1;14;2;1;3;16;3;800,00000000000;-1;15;1;4;1;1
16139;16139;16139-Olivares de J├║car;334,00000000000;50,00023100000;Olivares de J├║car;16139;6,67996913854;-2,58283785549;-50,66469719350;1690,00000000000;0,29940119761;906,00000000000;3;3;3;3;14;6,80000000000;2;1;15;2;1;4;16;3;1690,00000000000;0;15;0;4;0;1
16141;16141;16141-Olmeda del Rey;133,00000000000;74,61170000000;Olmeda del Rey;16141;1,78256225230;-2,74516420816;-52,83687943260;1400,00000000000;0,75187969925;938,00000000000;3;3;3;3;14;7,85000000000;2;1;15;2;1;4;16;3;1400,00000000000;0;15;0;4;0;1
16142;16142;16142-Olmedilla de Alarc├│n;151,00000000000;38,30819500000;Olmedilla de Alarc├│n;16142;3,94171534315;-1,90769620971;-40,55118110240;371,42857142900;2,64900662252;822,00000000000;3;3;1;2;11;6,34000000000;2;1;12;2;1;2;16;2;371,42857142900;0;13;1;3;1;1
